question,subjects
"자기소개, 자신의 장단점, 기술면접 기술면접에서 그리 어렵지않게 냈지만 다수 면접이다보니 많이 떨렸습니다",{}
"스트레스어떻게 푸는지, 회사까지 얼마나 걸리는지, 궁금한점있으면 이야기해보세요",{}
"어떤거 배웠는지, 어떤거 공부했었는지, 새롭게 관심있는 분야가 있는지 등등",{}
솔직히 없음 답변도중에 끊어버리고 더른질문도 드ㅡㄹ어왓던걸로 기억,{}
딱히 기억나는 질문은 없고 경력에 대한 내용을 자세히 설명하길 원했음,{}
이력서의 자기소개 보고 그에 대한 질문을 했었음,{}
이력서의 경력관련 질문을 받음. 프로젝트 진행관련이었으며 답변은 경험한것을 토대로 답함,{}
기억에 남는 질문이 없어서 적을게 없음. 대체적으로 기술적인 부분이 아니라 인성 질문이었음,{}
경력집으로 전에 했던 업무을 상세 사게 실무자들이 질문 합니다.,{}
10년후 본인의 모습은 어떨꺼같은지 자기소개 지원사유,{}
왜 이 업무를 하고 싶어하는지와 기본적으로 학부때 배우는 지식들을 물어봄,{}
최근 관심있는 기술이 무엇인가요? 요즘 기술 트렌드가 어떤게 있나요? 스트레스 받으면 어떻게 해결 하시나요?,{}
책은 어떤거 읽었는지? 그 외엔 생각이 안남,{}
"여태까지 했던 프로젝트 위주 질문이 많았고, 분위기는 압박보단 편안한 분위기로 면접진행 했습니다.",{}
가장 자신있는 분야에 대해서 설명해라. 가장 자신있는 IT 기술에 대해서 설명해라.,{}
이전에 했던 프로젝트에 대한 질문 왜 이직하는지 앞으로 어떤 일을 하고싶은지,{}
그전 회사 퇴사사유에 대한 질문이었습니다 경력자라면 피할수없는 질문..,{}
"입사지원한 이유, 입사후 포부, 하고 싶은 말",{}
우리 회사가 어떤 회사라고 생각하십니까? 전 회사를 그만둔 이유는?,{}
면접관은 3명이었고 이력서상 경력 위주의 질문이었고 크게 어려운 점은 없었습니다. 인사팀 담당자의 희망연봉 관련 질문이 있었습니다,{}
가장어려웟던 프로젝트 가장즐거운 플젝 협업시 어려운 점,{}
대체적으로 기본적인것만 물어봄 딱히 어려운게 없어서 질문이 기억에 안남음,{}
"특별한 질문 없었음,, 궁금한거 있냐 수준",{}
자기소개 비전공인 사람은 왜 지원했는지 자기어필도 시킴 맘에드는 사람 있으면 그 사람에게는 잘 안물어봄,{}
기술면접인데 솔직히 난이도는 쉬운편임. 대략적인 내용만알아도 될 정도?,{}
정확히 기억나진 않지만 스킬적인 부분에 대한 질문들이 많았음,{}
전에 다니던 직장을 왜 그만두게 되었나요?,{}
"진행한 프로젝트 중 제일 생각나는 프로젝트는 무엇이며 왜 그렇게 생각하는지 질문 채용방식 필기시험, 그룹면접 발표시기 15일 후 ""필기시험후 시험문제 및 기술면접으로 면접을 진행합니다."" 합격 보통 도움이 돼요 0",{}
어떤기술들을 사용해서 무엇을 만들어봤습니까 여러개가있다면 가장 기억에남는 프로젝트를 골라 설 명하세요,{}
어떤걸 개발해보았고 거기서 느낀점은무엇인가?그리고 배웠던것과 어떤 기술을사용해보았나,{}
대학 성적이 좋지는 않은 편인데 이유는?,{}
"자기소개, 기본 IT관련 지식에 대한 질문을 많이하고 그외 경력 중 특이한 부분에 대해 질문함",{}
독서를 하십니까? 독서를 안하시는 것 같습니다.,{}
"온라인 커머스 분야이다보니 이쪽 시장에 대한 이해도에 대한 질문이 많음. 깊게 파고 들어가서 본인의 경험까지 이끌어내는 경우가 많음 채용방식 토론면접, 개인면접 발표시기 2일 후 ""신입 면접 시 보통 당일에 1-2차 나눠서 진행. 포지션마다 면접 형태는 다르지만 보 통은 1차 그룹, 2차 본부장/팀장 면접으로 중점적으로 보는 것은 퇴사 안하고 오래 다닐 수 있는지, 적성 여부 파악이 주안점임 면접비 지급"" 합격 보통 도움이 돼요 0",{}
주로 무슨 업무를 했나? 본인이 이 프로젝트에서 어떤 점을 기여하였나? 본인의 성과가 어느정도 인가?,{}
마지막에 본인 성격이 어떤지도 물어봤었음 분야에 대해 많이 알길,{}
미래의 나의 모습은 어떠할지 그 미래를 대비해 무엇을 하고있는지?,{}
면접본지 오래돼서 자세히 기억은 안나는데 대부분 프로젝트 질문 후 그에 관련된 기술 질문이엇습니 다,{}
아키텍터의 원리를 물어보는 질문과 기본 사양을 물어보는 질문이 많았음,{}
늘 그렇지만 이탈자가 많았던 시기의 면접이라 그런지 뭔가 좀 어수선했음. 2차 인사팀? 쪽 면접관님은,{}
팀장이 묻는 질문들은 다 난해한 질문 위주였음. 평범한 업무적인것에 물어봤으면..,{}
자기개발을 위해 노력하고 있는게 있는지? 있다면 최근에 기억남는 주제에 대해 설명해주세요,{}
"지원 이유 , 연봉에 대한 생각, 인생살아오며 가장힘들었던점",{}
전반적인 직무 관련 질문이 많았고 입사 후 역량을 어떻게 펼칠 수 있을지에 대해 많이 물어봤습니다.,{}
"기술적인 질문과 티몬에서 바라는점, 혹은 개발자로서 원하는 점",{}
대부분 진행한 프로젝트에 대한 질문과 개발에 필요한 지식들을 위주로 질문하였습니다.,{}
기술적으로는 기초적인부분을 많이 물어보셨고 경력면접이였어서 이전 회사에대한 업무나 경험에 대해서 많이 질문해주셨습니다.,{}
인사면접에서 친구들에게 나는 어떻게 불리는지에 대한 질문,{}
"이직하려는 사유, 티몬 사용 경험 + 티몬에 대한 생각, 기술관련 경험여부",{}
직무관련하여 본인의 실력이 어느정도 되는지 물어봤음. 그거 말고는 기억이…,{}
스프링 없이 개발을 한다면 전반적으로 평이한 전공 질문,{}
입사후 예상과 다른 업무를 하게 된다면 어떻게 할 것인지 본인/전 직장 동료들이 평가한 본인의 장점과 단점,{}
"이직하는 이유, 업무 진행 능력, 기획 능력, 티몬의 중요 인재상",{}
그냥 생각외로 진짜 기본적인 질문들로만 이루어짐 인사면접은 그냥 형식적,{}
이력서에 나와 있는 프로젝트 관련 내용 위주로 질문,{}
1.정말 기본적인건데~~~ 2.정말 기본적인건데~~~ 3.정말 기본적인건데~~,{}
"QA와 테스터의 차이, 기억에 남는 에피소드, 티몬앱을 어떻게생각하는지",{}
"php 할줄 아세요,? ejb에 대한 설명해보세요.????",{}
지금까지 일해왔던 방향과는 많이 다른데 자신이 있는지?,{}
1. 자기소개 2. 해당 직종이 되기 위해 노력한것은? 3. 궁금한것이 있는지,{}
어떤 상황에서는 어떻게 할 것인가 등의 상황에 대한 질문을 많이 하셨습니다,{}
"직무 관련 기술 질문, 왜 퇴사하고 이직하려고 하는가, 어떤 프로젝트가 가장 기억에 남고 그 이유는?",{}
서드아이 면접시 그런거 말고 진짜 왜 지원했느냐? 어떤식으로 회사에 기여를 할 수 있느냐? 윗사람이 잘못된 업무를 시키면 어떻게 할 것인가?,{}
1. 기술면접 2. 살면서 가장 힘들었던일? 3. 자신의 성격에 대한 장점과 단점은?,{}
1. 지원동기 2. 티몬앱 사용여부 3. 티몬앱 개선사항,{}
2차 면접 인사담당자와의 면접때 회사를 오래다닐수있는지에 대한 질문,{}
코테는 매우 쉬운편이고 기술면접은 실무자가 보기 때문에 파고드는 질문에 조금 어려울 수 있음 인사팀 면접은 인성면접이라 걱정 안해도 됨,{}
실무위주의 질문들 그동안 진행했던 실무에 대해서 질문했었음,{}
1. 이 직무에 대해 본인의 미래 비전은 무엇인가 2. 일을 하면서 어려웠던 것 3. 개발 지식,{}
"지원동기, 수상경력, 장단점에대해서 기본적인걸 물어봤다, 실무적인것도 자세히 물어봤다",{}
면접자가 자기가 뭘하는지 모르고 면접 시작 2분전에 통보받고 끌려온 사람 같고 아는거 없으니 금방 퇴사할 사람처럼 모든것에 시큰둥함,{}
자가소개 성격의 장점 어떤 업무들을 진행했었는지,{}
"지원동기, 본인의장점, 단점 입사후 포부에 대해 구체적으로 설명",{}
"손코딩, 기술면접, 임원면접에도 기술을 빡씨게 물어봄",{}
기존에 했던 일이 무엇인지 설명해보시오 기존에 했던 일과 여기에 일의 차이점이 무엇인지? 실무관련 자잘한 질문들,{}
자기개발을 꾸준히 하고있는가? 있다면 어떤것들을 하고있는가,{}
지원 분야에 대한 기본적인 질문. 평이한 수준의 질문,{}
티몬에서 어떤 물건 구매했고 만족도는 어땠는지,{}
전반적으로 공부한 기술을 설명하라고함,{}
학창 시절 가장 좋아했던 과목 2가지를 말해봐라. 이후 해당 전공과목에 대해 집중적으로 질문.,{}
여기 오면 뭐 할 것 같은가? 프로젝트에서 뭘 했었는지? 프론트앤드 개발 시 사용한 것들,{}
주로 기술적인 면에대해 끊임없이 묻고 답하고하는 형식으로 이어지며 그 외의 것들은 기본적인 질문 들,{}
"재직중인 현 직장과 티몬에 대한 기술적인 질문이 대부분. 다른 회사들은 아무리 경력직 면접이라도 중간중간 숨고를 수 있는 가벼운 질문도 줬던 것 같은데, 여긴 너무 기술적인 질문들만 릴레이 형식으로 하는듯. 3명의 실무자 면접관들이 돌아가며 계속 질문하는걸 보니 열의는 느껴졌음.",{}
티몬의 문화는 무엇이라생각하는가? 그 문화에 대한 생각은?,{}
주로 시험에 대한 풀이 질문이었고 개발기술 질문이 제일 많았음.,{}
"1차에서는 정말 인성에 관한것만 물어봤습니다. 취미, 특기, 장단점.",{}
"간단한 자기소개, 업무내용, 취미 등등",{}
관련업계에 종사하는 사람이라면 필수로 알아야 하는 질문 몇개 물어보셨습니다.,{}
직무자기소개 지원동기 10년후어떤사람이되고싶은가? 어떤업무를중점으로했는가?,{}
경력직채용이기때문에 직무자기소개 최근it동향 주로어떤업무를했는지 회사생활중.가장.어뢰웠던점 어려,{}
자소서 위주의 면접내용 이 시기때 뭐했어요 등등,{}
1.지방에서 올라오면 적응하여 잘 살 수 있을까요? 2. 중소기업구모와 우리 규모는 엄청난 차이이다. 이 조직내에서 잘적응 할 수 있나?,{}
"간단 자기소개 후 자소서 위주 내용으로 시작함 프로젝트에 대한 설명 및 역할, 사용한 기술부터 그에 해당하는 질문으로 이어짐",{}
필기시험보는데 기본 지식 및 손코딩문제 나왔어요 질문은 이전 진행 업무에 대한 질문을 하였습니다.,{}
시험은 어려운 편은 아니었습니다. 이직하는 이유에 대하여 질문을 하였고 팀에 합류하면 어떤역할을 할 수 있는지 질문을 하였습니다.,{}
경력직이여서 개발에 대한 스킬 및 개인적인 성향등이 주 질문 사항.,{}
"기본적으로 기술적인 질문, 전회사 퇴직사유, 알고있는 신기술",{}
주로 이전 회사에서 맡았던 업무 관련된 질문을 받았음 인성질문도 가끔 있었음,{}
경력직이라서 그런지 1:3면접을 진행 면접질문은 아주아주 기초 수준으로 진행 이력서대로 질문을 해야 하는데 그냥 생각나는데로 질문을 함,{}
서드아이질문이 너무짜증났음.................,{}
손코딩을 시키는데 해당 내용이 크게 좌우하는 것인지 정확히 모르겠네요.,{}
자신있는 분야에 대해서 매우 원론적이고 기초적인 부분까지 파고들어 물어봄.,{}
코딩 동호회 했는가? 했ㄷㅏ면 어떤걸 했는가? 그리고 연봉은 얼마나 원하는가?,{}
코딩관련동아리한적있는가? 웹언어에대해서 아는 것이 있는가?,{}
기술에 대하여 상세히 질문 경험해본 기술에 대하여 상세하게 풀어서 설명하게 함.,{}
- 업무와 관련된 경험 위주로 질문 - 몇 가지 기술질문,{}
압박 면접의 형태는 아니며 면접자 경력 위주로 기술적인 부분에 있어서 상세히 질문함,{}
업무관련내용 과 서드아이라는 면접이있음,{}
1. 자신이 개발할수있는건 무엇인지 그것을 통하 얻을수 있는것은 무엇인가 2.개인 pt,{}
웹 개발 관련 기술적인 질문이 다수를 이룸,{}
최신 트렌드를 많이 알고 있는지 물어보았습니다. 사내 분위기가 최신 트렌드 공부를 많이 하는 것 같아 보였습니다.,{}
경력위주의 자기 소개. 부당한 대우를 하는 사수가 있다면 어떻게 대처할 것인지 질문. 업무와 관련된 지식 질문.,{}
"이 회사에 들어온다면 개선하고 싶은 점이 무엇인가? 그리고 그에 대한 자신이 해야하는 일은 무엇인가? 채용방식 그룹 프로젝트, 그룹면접, 개인면접 발표시기 30일 후 ""면접이 까다롭지만 어렵지않음 준비만 잘한다면 면접으로는 문제가안됨"" 합격 보통 도움이 돼요 0",{}
기술적인것 물어보는데 개발시 중요하게 생각하지 않거나 잘 사용하지 않는 것을 집중적으로 물어봄. 실무 관련된 질문은 잘 안물어봄. 고난도 기술에 대한 질문은 설명하면 면접관들이 더 모르는것 같음,{}
"자기소개서 위주로 물어보고 손코딩, 기술관련 질문을함 ""1차면접만 했습니다. 면접관은 2명이고"" 불합격 보통 도움이 돼요 0",{}
자소서 위주 프로젝트에 대한 질문과 기본 코딩 채용방식 개인면접 대기중 보통 도움이 돼요 0,{}
1. 간단한 자기소개 2. 경험한 프로젝트에 대한 설명,{}
"이력서에 기재한 경력사항(업무관련,진행 프로젝트) 관련된 질문",{}
"자기소개해주세요, 전회사에서 맡았던 업무는 어떤것이었나요? 채용방식 개인면접 ""지금부터 2년전이라 그때는 팀장님 면접만보고 바로 합격통보받았네요 면접도 시 덥잖은 농담만했어요. 그러고 마음에든다며 바로합격 .."" 합격 보통 도움이 돼요 0",{}
"MO 개선점 도출하는 것을 주제로 가졌습니다. (메인페이지, 구매페이지, 마이티몬)",{}
"전회사에서의 경력을 중심으로 티몬의 담당업무와의 연계성을 많이 물어본다. ""실무자-임원 면접-써드아이 면접. 면접을 케이스지이케이스지만 많이 힘들지는 않 습니다."" 합격 보통 도움이 돼요 0",{}
야근과 초과근무에 대한 견해를 물어보았음,{}
자기소개/대외활동관련 활동내역/책임감과 꼼꼼함에 대하여,{}
큰 질문은 없었다. 일 잘할 수 있겠느냐 관련 질문이었고 그 날 합격했다.,{}
좋은 기획서를 쓰려면 어떻게 써야 할것인가?,{}
티몬에 입사한 이유 가 무엇 인가요 티몬을 사용해보앗나요,{}
대기중 보통 도움이 돼요 0,{}
면접질문은 어떻게 그 학원에 들어갔습니까? 그학원에서는 몇시까지 공부했습니까?,{}
"보통 수준의 구술면접을 봄. 채용방식 개인면접 ""기술 시험이 있다고 했지만 기술시험은 면접 질문으로 진행함. 면접관 2명으로 진행됨."" 불합격 보통 도움이 돼요 0",{}
매출을 얼마나 할 수 있나요?,{}
"사회경험, 개발을 즐겨 하는지, 무슨책을 최근 읽었는지 질문 채용방식 인/적성검사, 개인면접 ""옷자체도 자유복장으로 자유로운 면접 분위기"" 불합격 보통 도움이 돼요 0",{}
"없었음 채용방식 개인면접 발표시기 30일 후 ""면접의 팁이랄 건 없음. 경력직이므로 자기 직무에 대한 전문성 확보만 되어 있다면... 어느기업 면접이든 같을듯."" 합격 보통 도움이 돼요 0",{}
1차 기술면접이 난이도가 상당히 높았음. 경력직 면접이어서 그랬겠지만 고도의 전문적인 스킬을 물어 보고 문제에 대한 본질을 알고 있는지가 관건이었음,{}
업무적인 면접이외에 기업문화와 관련된 면접에서는 회사와 어울릴 수 있는 인물인가를 평가함,{}
자기소개서(가장 재미있게 개발했던 경험) 내용에 대한 질문..,{}
실무와 관련된 내용을 물어보지 않고 너무 기초적인 질문(출근할때 부득이 늦으면 어떻게 할 것이냐 등...)이 많았음,{}
"지원한 이유, 이전 회사에서 어떻게 일했는지, 자기소개",{}
왜 이 직업을 택하였나요라던가 그냥 기본적인 질문위주가 많음,{}
내가 갈 팀 업무에 대한 설명을 해줘 좋았으 질문보단 이야기를 많이 해줌,{}
특별한 면접 과정 없이 전화로만 소통 합격여부 처우협의 등,{}
회사에 대해 아는게 있는지 이전회사에선 어떤 개발을 했는지,{}
"자기계발 그동안 뭐했는지, 가장 어려웠던 프로젝트를 어떻게 해결했는지, 업무 중 막히면 어떻게 풀어 낼건지?",{}
"기본적인 기술 사항과 이직사유 물어봄, 입사시 언제까지 올 수 있는지 물어봄",{}
"업무관련 질문, 인성질문, 이직사유등 무난한 질문들 위주였습니다.",{}
경력인데 자기 소개를 시켜서 약간 당황하지만 정상임. 1시간정도 면접을 봤는데 다소 자잘한 코드 질 문류가 날라오기도 함. 본부장이 it에 대한 관심이 높다는걸 느낄수 있으나 그런 질문은 약간 이상했음.,{}
자신이 해온 일들에 대한 설명과 업무 스킬 설명함 필요한 질문만 함,{}
최신 개발기술 중에 어떤것을 사용 해본적 있는지 물어봄,{}
인성질문은 무난했으나 실무에 대해 여러가지로 디테일하게 물어봅니다. 다소 압박면접 느낌 받음.,{}
의외로 인성 질문이 많았음. 이 분야에 경험이 부족한 상사가 있을 때 어떻게 할 것인지 등등,{}
기억에 남는 질문은 개발 관련해서 할 수 있는지 많이 물어봅니다.,{}
경력직에 맞게 이전 경력에 대한 얘기를 논했으면 바라는데. 터무니 없는 인턴 사원 뽑는 느낌이 강했 음. 전문 지식이라곤 찾아볼 수 없고;; 그렇다고 인성이라는 문맥의 질문도 아닌. 제발 경력직이면 경력 직 답게 물어보세요. 면접하러 온 시간이 아까움.,{}
QA 직무를 어떻게 접하게 되었는가 잡코리아 같은경우 QA업무만이 아닌 기획까지도 같이 하는데 괜찮은가,{}
가장 힘들었던 일과 어떻게 극복했는지 발표시기 7일 후 불합격 보통 도움이 돼요 0,{}
모르는 것을 많이 물었다. 아무 생각 없이 사용하던 것에 대한 이유를 많이 물었던거 같다,{}
1. 그동안 했었던 일 설명 2. 우리가 할일에 대한 일에 대한 이해,{}
현재 다니고 있는 회서에서 이직하려는 이유가 무엇인가요?,{}
입사후 언제까지 잡코리아를 얼마나 다닐수 있다고 확신 하십니까?,{}
"다른 언어도 할줄 아느냐고 꼭 물어보는거 같다 안해봣다 하면 표정이 안좋은거 같다 발표시기 14일 후 ""면접을 한시간 반이나 봣다",{}
대부분 경험을 먼저 물어보고 궁금하시면 이걸 만드는데 어떤걸 써봤으며 참여도는 몇프로 였는가 정도를 물어보는 질문이 들어오구요 모르면 모른다고 답변을 하시는 편이 좋을것 같네요 자신들과 같이 일할 직원을 뽑는 자리인 만큼 해당 포지션에 맞는 인채 같습니다.,{}
"실무적인 질문이 많았고 구직 업무 지식이 없어 대답이 약간 어려웠음 그 외 개발적인 질문은 평이 했음 채용방식 개인면접 발표시기 3일 후 ""- 실무, 팀장, 임원 면접까지 한번에 진행 - 면접에서 채용까지 빠르게 진행됨"" 합격 보통 도움이 돼요 0",{}
"기술적으로 무언가를 만드는데 얼마나 걸리나 라는질문 채용방식 개인면접 발표시기 7일 후 ""상당히 차분한 면접 필요한 부분만 정확히 물어봄"" 합격 보통 도움이 돼요 0",{}
전 직장에과 속해있던 산업에 대한 의견.,{}
"경력에 대한 내용 위주로 질문하고, 기술관련 질문은 평이함. 채용방식 개인면접 발표시기 4일 후 ""팀장과 본부장이 같이 면접을 진행했습니다."" 불합격 보통 도움이 돼요 0",{}
대부분 경력 개발이력에관한질문 코테는 1-2개만물어봤고 cs질문도 몇개물어봤습니다,{}
과제에서 이부분은 왜 이렇게 짰나 이렇게 바꿔봐라,{}
기억에 잘 남는건 없는데 이직 사유를 집요하게 질문했던 기억이 있다,{}
딱히 기억에 남는 질문이 없었음. 그냥 기본적인 기술에대한 질문들..?,{}
가장 어려웠던 과제는 무엇이었나요? 주로 경험에 대한 질문,{}
마지막으로 하고싶은말 이 코드를 이렇게 하려면 어떻게 바꿔야 할까요 입사하면 하고싶은거,{}
문제는 잘..기억이 안나요 근데 전반적으로 프로젝트에 대한 설명 경험 위주로,{}
왜 지원했는지? 이전직장과 차이점은?? 조직의 개발문화는??,{}
왜 지원을 했고 앞으로 어떤 개발자가 되고 싶은지 물어보았고 가술질문은 너무 어려웠던 것만 기억에 남는다,{}
"기술적인 질문들이 기억에남는 이걸 이렇게 바꿔봐라 , 이건 왜이렇게했냐 , A에 대해 물어보고 A에대해 모른다면 그걸 이용해서 바꾸 면 어떻게 바꿀것인가. 2차는 이직사유 , 본인의 성장 방향성 등을 위주로 질문을 주셨고 편안하게 대답을 했습니다.",{}
"무엇을 할 수 있는가, 이력서 위주의 질문을 많이함",{}
1차 실무진 면접이 오히려 인성질문이였고 2차 실장급 면접이 적성면접이였습니다. 1차때는 스트레스 해소법 이런거 물어봤던거같아요,{}
회사가 망했다고 생각이 들었다면 나가실 건가요? 내 일이 아니여도 시킨다면 하겠나요?,{}
"기술면접으로 진행하였으며, 약간의 압박면접 형식의 꼬리물기식 질문이 있습니다.",{}
시간이 흘어서 10년후에 어떤 사람이 되어 있을것 같으세요?,{}
qa를 하면서 보람있던 일은 무었이 있었는지 설명해주세요,{}
근무했던 직장 프로젝트 성과 등등,{}
"지원동기, 창의력을 이용해 했던 일중 가장 잘한일은",{}
1. 프로젝트 관련질문 2. 실무관련 질문 3. 꼬치꼬치 캐묻는 질문. 기타 말도 안되고 답도 없는질문,{}
"프로젝트, 개발 경험, 어떤 걸 할건지 등 질문입니다.",{}
"자신의 장점,기여할수 있는부분,이직이유",{}
목표가 무엇인가. 앞으로 하고자하는 방향성 및 지금까지 했던 기술적인 내용,{}
